"state","city"
"Alabama","Alabaster"
"Alabama","Anniston"
"Alabama","Huntsville"
"Alabama","Decatur"
"Alabama","Mobile"
"Alabama","Madison"
"Alabama","Montgomery"
"Alabama","Dothan"
"Alabama","Cullman"
"Alabama","Tuscaloosa"
"Alabama","Gadsden"
"Alabama","Fairhope"
"Alabama","Section"
"Alabama","Phenix City"
"Alabama","Gulf Shores"
"Alabama","Birmingham"
"Alabama","Spanish Fort"
"Alabama","Opelika"
"Alabama","Jasper"
"Alabama","Florence"
"Alabama","Guntersville"
"Alabama","Trussville"
"Alaska","Haines"
"Alaska","Palmer"
"Alaska","Gakona"
"Alaska","Fox"
"Alaska","Homer"
"Alaska","Skagway"
"Alaska","Sitka"
"Alaska","Fairbanks"
"Alaska","Talkeetna"
"Alaska","Wasilla"
"Alaska","Kodiak"
"Alaska","Anchorage"
"Alaska","Ketchikan"
"Alaska","Girdwood"
"Alaska","Kenai"
"Alaska","Cooper Landing"
"Alaska","Healy"
"Alaska","Nenana"
"Alaska","Valdez"
"Alaska","Seward"
"Alaska","Juneau"
"Alaska","Soldotna"
"Alaska","Hoonah"
"Alaska","Eagle River"
"Arizona","Camp Verde"
"Arizona","Mesa"
"Arizona","Prescott Valley"
"Arizona","Marana"
"Arizona","Yuma"
"Arizona","Kingman"
"Arizona","Skull Valley"
"Arizona","Queen Creek"
"Arizona","Sonoita"
"Arizona","Chandler"
"Arizona","Sierra Vista"
"Arizona","Lake Havasu City"
"Arizona","Prescott"
"Arizona","Lakeside"
"Arizona","Scottsdale"
"Arizona","Show Low"
"Arizona","Phoenix"
"Arizona","Surprise"
"Arizona","Cottonwood"
"Arizona","Tombstone"
"Arizona","Pine"
"Arizona","Gilbert"
"Arizona","Flagstaff"
"Arizona","Peoria"
"Arizona","Williams"
"Arizona","Colorado City"
"Arizona","Chino Valley"
"Arizona","Tempe"
"Arizona","Glendale"
"Arizona","Sedona"
"Arizona","Bisbee"
"Arizona","Elgin"
"Arizona","Tucson"
"Arizona","Goodyear"
"Arizona","Avondale"
"Arkansas","Hot Springs National Park"
"Arkansas","Paragould"
"Arkansas","Big Flat"
"Arkansas","Fort Smith"
"Arkansas","Hot Springs "
"Arkansas","fayetteville"
"Arkansas","rogers"
"Arkansas","Paris"
"Arkansas","Norfork"
"Arkansas","Little Rock"
"Arkansas","North Little Rock"
"Arkansas","Eureka Springs"
"Arkansas","Harrison"
"Arkansas","Lowell"
"Arkansas","Bentonville"
"Arkansas","Mountain Home"
"Arkansas","Rogers"
"Arkansas","Fayetteville"
"Arkansas","Springdale"
"Arkansas","Bonnerdale"
"Arkansas","Amity"
"California","Whitethorn"
"California","Fort Bragg"
"California","Los Banos"
"California","Coronado"
"California","Norco"
"California","Chatsworth"
"California","Visalia"
"California","Julian"
"California","Pasadena"
"California","West Sacramento"
"California","Escondido"
"California","Grover Beach"
"California","La Jolla"
"California","Petaluma"
"California","Elk Grove"
"California","Fortuna"
"California","Jamul"
"California","Chino"
"California","Marina del Rey"
"California","Mariposa"
"California","Cotati"
"California","West Covina"
"California","Santa Monica"
"California","Monrovia"
"California","Eureka"
"California","Idyllwild"
"California","Magalia"
"California","Oakland"
"California","Santa Barbara"
"California","del Mar"
"California","Oceanside"
"California","Garden Valley"
"California","Hollister"
"California","San Fernando"
"California","Santa Rosa"
"California","Sacramento"
"California","Oakdale"
"California","Valencia"
"California","Thousand Oaks"
"California","Santee"
"California","Windsor"
"California","Santa Margarita"
"California","Rancho Cucamonga"
"California","Oroville"
"California","Westlake Village"
"California","Pleasanton"
"California","Pacifica"
"California","Lakeport"
"California","Morro Bay"
"California","Kelseyville"
"California","Plymouth"
"California","Mill Valley"
"California","La Mirada"
"California","Apple Valley"
"California","Sacramento "
"California","Soquel"
"California","Suisun City"
"California","San Jose"
"California","Brea"
"California","Moraga"
"California","Burlingame"
"California","Fullerton"
"California","Guerneville"
"California","Newhall"
"California","Saint Helena"
"California","Ventura"
"California","Goleta"
"California","Daly City"
"California","Lake Almanor"
"California","Mammoth Lakes"
"California","Madera"
"California","Vacaville"
"California","San Rafael"
"California","San Juan Capistrano"
"California","Colton"
"California","Fair Oaks"
"California","Santa Clarita"
"California","Vallejo"
"California","Lancaster"
"California","Dunsmuir"
"California","Camino"
"California","Half Moon Bay"
"California","Santa Maria"
"California","Tehachapi"
"California","Three Rivers"
"California","Burbank"
"California","Carpinteria"
"California","Mccloud"
"California","Woodland"
"California","Imperial"
"California","Healdsburg"
"California","La Verne"
"California","El Cerrito"
"California","Camarillo"
"California","Ukiah"
"California","Aliso Viejo"
"California","Marina"
"California","Whittier"
"California","Costa Mesa"
"California","Rocklin"
"California","Scotia"
"California","Palmdale"
"California","Weed"
"California","Blue Lake"
"California","Montebello"
"California","Menifee"
"California","Livermore"
"California","Belmont"
"California","Salinas"
"California","Davis"
"California","Canoga Park"
"California","Dixon"
"California","Arnold"
"California","Lincoln"
"California","Yorba Linda"
"California","Rancho Santa Margarita"
"California","South San Francisco"
"California","Pomona"
"California","Glendale"
"California","Placentia"
"California","Hesperia"
"California","Berkeley"
"California","El Cajon"
"California","Roseville"
"California","Rancho Mirage"
"California","Wildomar"
"California","Calistoga"
"California","Orcutt"
"California","Hawthorne"
"California","Clearlake"
"California","Lakewood"
"California","Lodi"
"California","Irwindale"
"California","San Ramon"
"California","Concord"
"California","Sebastopol"
"California","Bakersfield"
"California","Gardena"
"California","Silverado"
"California","American Canyon"
"California","Vista"
"California","Hacienda Heights"
"California","Azusa"
"California","Atascadero"
"California","Orange"
"California","Lompoc"
"California","Venice"
"California","Campbell"
"California","Signal Hill"
"California","Susanville"
"California","Agoura Hills"
"California","Sonoma"
"California","Pescadero"
"California","Tulare"
"California","Santa Clara"
"California","Cameron Park"
"California","San Gabriel"
"California","Murrieta"
"California","Oxnard"
"California","Laguna Hills"
"California","Long Beach"
"California","Huntington Beach"
"California","Hermosa Beach"
"California","Morgan Hill"
"California","Martinez"
"California","Fremont"
"California","Tahoe City"
"California","Redondo Beach"
"California","Novato"
"California","Arroyo Grande"
"California","Laguna Beach"
"California","Yucaipa"
"California","Pollock Pines"
"California","Big Bear Lake"
"California","South El Monte"
"California","Princeton"
"California","Potter Valley"
"California","Nevada City"
"California","San Pedro"
"California","McKinleyville"
"California","Diamond Springs"
"California","Los Gatos"
"California","Torrance"
"California","Chula Vista"
"California","Solvang"
"California","Montclair"
"California","Fairfax"
"California","Irvine"
"California","San Carlos"
"California","Taft"
"California","Trabuco Canyon"
"California","South Lake Tahoe"
"California","Exeter"
"California","Covina"
"California","Tracy"
"California","Holtville"
"California","Woodland Hills"
"California","Capitola"
"California","Lafayette"
"California","Lomita"
"California","Santa Ana"
"California","Folsom"
"California","Stevenson Ranch"
"California","Turlock"
"California","Larkspur"
"California","Truckee"
"California","Placerville"
"California","Cambria"
"California","Cayucos"
"California","Van Nuys"
"California","Boonville"
"California","Stockton"
"California","Burney"
"California","San Marcos"
"California","El Segundo"
"California","Watsonville"
"California","Arcadia"
"California","Bishop"
"California","Gilroy"
"California","Yuba City"
"California","Pismo Beach"
"California","Riverside"
"California","Thousand Palms"
"California","Temecula"
"California","Rohnert Park"
"California","Danville"
"California","Lake Elsinore"
"California","Ceres"
"California","Sunnyvale"
"California","Avalon"
"California","Monterey"
"California","San Leandro"
"California","El Dorado Hills"
"California","San Dimas"
"California","Fresno"
"California","Banning"
"California","Carlsbad"
"California","Paso Robles"
"California","Ontario"
"California","Moorpark"
"California","Redding"
"California","Los Angeles"
"California","Oakhurst"
"California","Fairfield"
"California","Scotts Valley"
"California","Dublin"
"California","Fallbrook"
"California","Walnut Creek"
"California","Fountain Valley"
"California","Clovis"
"California","La Mesa"
"California","Cloverdale"
"California","Pittsburg"
"California","Chico"
"California","Lemoore"
"California","Buellton"
"California","Auburn"
"California","Kernville"
"California","Redwood City"
"California","Inyokern"
"California","San Diego"
"California","Tustin"
"California","Etna"
"California","Arcata"
"California","Newport Beach"
"California","San Bernardino"
"California","Sanger"
"California","Valley Center"
"California","Tecopa"
"California","Lemon Grove"
"California","San Luis Obispo"
"California","Culver City"
"California","Red Bluff"
"California","Claremont"
"California","June Lake"
"California","Pacific Grove"
"California","Sherman Oaks"
"California","Richmond"
"California","Crescent City"
"California","Ramona"
"California","Redlands"
"California","Upland"
"California","Rancho Cordova"
"California","Mountain View"
"California","Universal City"
"California","Corona"
"California","Anaheim"
"California","Napa"
"California","Palm Desert"
"California","Carmichael"
"California","Loomis"
"California","Cool"
"California","Solana Beach"
"California","Galt"
"California","Inglewood"
"California","San Clemente"
"California","San Francisco"
"California","Hayward"
"California","Winters"
"California","Alameda"
"California","Blairsden-Graeagle"
"California","Santa Cruz"
"California","Benicia"
"Colorado","Dillon"
"Colorado","Highlands Ranch"
"Colorado","Eaton"
"Colorado","Broomfield"
"Colorado","La Junta"
"Colorado","Salida"
"Colorado","Silverthorne"
"Colorado","Frederick"
"Colorado","Divide"
"Colorado","Steamboat Springs"
"Colorado","Woodland Park"
"Colorado","Paonia"
"Colorado","Grand Lake"
"Colorado","Canon City"
"Colorado","Monument"
"Colorado","Hayden"
"Colorado","Central City"
"Colorado","Breckenridge"
"Colorado","Delta"
"Colorado","Ouray"
"Colorado","Bailey"
"Colorado","Timnath"
"Colorado","Fort Collins"
"Colorado","Mancos"
"Colorado","Thornton"
"Colorado","Fairplay"
"Colorado","Silverton"
"Colorado","Northglenn"
"Colorado","Laporte"
"Colorado","Arvada"
"Colorado","Granby"
"Colorado","Greeley"
"Colorado","Greenwood Village"
"Colorado","Carbondale"
"Colorado","Castle Rock"
"Colorado","Bayfield"
"Colorado","Aspen"
"Colorado","Manitou Springs"
"Colorado","Dolores"
"Colorado","del Norte"
"Colorado","Larkspur"
"Colorado","Nederland"
"Colorado","Telluride"
"Colorado","Windsor"
"Colorado","Crestone"
"Colorado","Peyton"
"Colorado","Berthoud"
"Colorado","Eagle"
"Colorado","Westminster"
"Colorado","Sheridan"
"Colorado","Lafayette"
"Colorado","Grand Junction"
"Colorado","Parker"
"Colorado","Brighton"
"Colorado","Littleton"
"Colorado","Lyons"
"Colorado","Kremmling"
"Colorado","Niwot"
"Colorado","Leadville"
"Colorado","Durango"
"Colorado","Estes Park"
"Colorado","Fruita"
"Colorado","Boulder"
"Colorado","Louisville"
"Colorado","Edwards"
"Colorado","Lake City"
"Colorado","Florence"
"Colorado","Montrose"
"Colorado","Florissant"
"Colorado","Aurora"
"Colorado","Winter Park"
"Colorado","Wellington"
"Colorado","Pueblo"
"Colorado","Lone Tree"
"Colorado","Erie"
"Colorado","Frisco"
"Colorado","Georgetown"
"Colorado","Poncha Springs"
"Colorado","Palisade"
"Colorado","Johnstown"
"Colorado","Buena Vista"
"Colorado","Cortez"
"Colorado","Yuma"
"Colorado","Golden"
"Colorado","Longmont"
"Colorado","Gunnison"
"Colorado","Loveland"
"Colorado","Evergreen"
"Colorado","Wheat Ridge"
"Colorado","Vail"
"Colorado","Crested Butte"
"Colorado","Sterling"
"Colorado","Edgewater"
"Colorado","Cedaredge"
"Colorado","Trinidad"
"Colorado","Centennial"
"Colorado","Englewood"
"Colorado","Basalt"
"Colorado","Idaho Springs"
"Colorado","Glenwood Springs"
"Colorado","Colorado Springs"
"Colorado","Denver"
"Colorado","Alamosa"
"Colorado","Pagosa Springs"
"Colorado","Ridgway"
"Colorado","Lakewood"
"Connecticut","Stratford"
"Connecticut","Woodstock"
"Connecticut","Suffield"
"Connecticut","Rocky Hill"
"Connecticut","Enfield"
"Connecticut","Woodbridge"
"Connecticut","New Britain"
"Connecticut","Branford"
"Connecticut","Salem"
"Connecticut","Milford"
"Connecticut","Pawcatuck"
"Connecticut","Kent"
"Connecticut","Mistic"
"Connecticut","Middlefield"
"Connecticut","Ridgefield"
"Connecticut","Newtown"
"Connecticut","New Hartford"
"Connecticut","Redding"
"Connecticut","North Stonington"
"Connecticut","New Milford"
"Connecticut","Stonington"
"Connecticut","Hamden"
"Connecticut","Willimantic"
"Connecticut","Waterbury"
"Connecticut","Granby"
"Connecticut","Woodbury"
"Connecticut","Danbury"
"Connecticut","Winsted"
"Connecticut","Oakville"
"Connecticut","Plainville"
"Connecticut","Westport"
"Connecticut","New Haven"
"Connecticut","East Hampton"
"Connecticut","Mashantucket"
"Connecticut","Trumbull"
"Connecticut","Ellington"
"Connecticut","Derby"
"Connecticut","Bristol"
"Connecticut","Canaan"
"Connecticut","Cromwell"
"Connecticut","Putnam"
"Connecticut","Norwich"
"Connecticut","West Haven"
"Connecticut","Middletown"
"Connecticut","Chester"
"Connecticut","Harwinton"
"Connecticut","Manchester"
"Connecticut","Monroe"
"Connecticut","Wallingford"
"Connecticut","East Haven"
"Connecticut","South Windsor"
"Connecticut","Norwalk"
"Connecticut","Stafford Springs"
"Connecticut","Old Saybrook"
"Connecticut","Stamford"
"Connecticut","East Hartford"
"Connecticut","Bridgeport"
"Connecticut","Mystic"
"Connecticut","Southington"
"Connecticut","Oxford"
"Connecticut","Haddam"
"Connecticut","Milldale"
"Connecticut","Danielson"
"Connecticut","Bloomfield"
"Connecticut","South Glastonbury"
"Connecticut","Hartford"
"Connecticut","Wolcott"
"Connecticut","Wethersfield"
"Connecticut","New London"
"Connecticut","Groton"
"Connecticut","Bethel"
"Delaware","Middletown"
"Delaware","Georgetown"
"Delaware","Smyrna"
"Delaware","Greenville"
"Delaware","Rehoboth Beach"
"Delaware","Dover"
"Delaware","Dewey Beach"
"Delaware","Yorklyn"
"Delaware","Wilmington"
"Delaware","Newark"
"Delaware","Delmar"
"Delaware","Bear"
"Delaware","Milford"
"Delaware","Lewes"
"Delaware","Milton"
"District of Columbia","Washington"
"Florida","Merritt Island"
"Florida","Daytona Beach"
"Florida","Winter Garden"
"Florida","Key Biscayne"
"Florida","Apollo Beach"
"Florida","St Pete Beach"
"Florida","Titusville"
"Florida","West Melbourne"
"Florida","Oakland Park"
"Florida","Cocoa Beach"
"Florida","Zephyrhills"
"Florida","Ocala"
"Florida","Fernandina Beach"
"Florida","Fort Laurderdale"
"Florida","Port Orange"
"Florida","West Palm Beach"
"Florida","Venice"
"Florida","Islamorada"
"Florida","Lakeland"
"Florida","Dania"
"Florida","Delray Beach"
"Florida","Valrico"
"Florida","Jupiter"
"Florida","Safety Harbor "
"Florida","Pompano Beach"
"Florida","Ormond Beach"
"Florida","Fort Myers"
"Florida","Orlando"
"Florida","Spring Hill"
"Florida","Deland"
"Florida","Miami Beach"
"Florida","Destin"
"Florida","Cape Coral"
"Florida","Saint Johns"
"Florida","Hollywood"
"Florida","Hialeah"
"Florida","Weston"
"Florida","Opa Locka"
"Florida","Homestead"
"Florida","Pensacola"
"Florida","Doral"
"Florida","Panama City Beach"
"Florida","Fort Pierce"
"Florida","Clermont"
"Florida","Key West"
"Florida","Jacksonville"
"Florida","Vero Beach"
"Florida","Gainesville"
"Florida","Port Saint Lucie"
"Florida","Panama City"
"Florida","Safety Harbor"
"Florida","Tallahassee"
"Florida","Land O Lakes"
"Florida","Saint Augustine"
"Florida","Tequesta"
"Florida","Dunedin"
"Florida","Plant City"
"Florida","Lake Worth"
"Florida","Boca Raton"
"Florida","Punta Gorda"
"Florida","Casselberry"
"Florida","Lake City"
"Florida","Bradenton"
"Florida","Coral Springs"
"Florida","Winter Park"
"Florida","Lake Buena Vista"
"Florida","Trinity"
"Florida","Auburndale"
"Florida","Mount Dora"
"Florida","New Smyrna Beach"
"Florida","Leesburg"
"Florida","Clearwater"
"Florida","Brooksville"
"Florida","Winter Springs"
"Florida","Naples"
"Florida","Saint Petersburg"
"Florida","Royal Palm Beach"
"Florida","Fort Walton Beach"
"Florida","Wildwood"
"Florida","Bonita Springs"
"Florida","Crystal River"
"Florida","St Petersburg"
"Florida","Cocoa"
"Florida","Sanford"
"Florida","Debary"
"Florida","Orange Park"
"Florida","Sebring"
"Florida","Santa Rosa Beach"
"Florida","Palm Coast"
"Florida","Palm Harbor"
"Florida","St.Augustine"
"Florida","Davie"
"Florida","Miami"
"Florida","Navarre"
"Florida","Tarpon Springs"
"Florida","Fort Lauderdale"
"Florida","New Port Richey"
"Florida","Indian Harbour Beach"
"Florida","Winter Haven"
"Florida","Melbourne"
"Florida","Riverview"
"Florida","Eustis"
"Florida","Macclenny"
"Florida","Tampa"
"Florida","Milton"
"Florida","Atlantic Beach"
"Florida","Madeira Beach"
"Florida","Odessa"
"Florida","Kissimmee"
"Florida","Cape Canaveral"
"Florida","North Palm Beach"
"Florida","Oviedo"
"Florida","Largo"
"Florida","Apalachicola"
"Florida","Jacksonville Beach"
"Florida","Niceville"
"Florida","Longwood"
"Florida","Boynton Beach"
"Florida","Sebastian"
"Florida","Sarasota"
"Florida","Seminole"
"FL San","San Jose"
"Georgia","Evans"
"Georgia","Peachtree City"
"Georgia","Snellville"
"Georgia","Dalton"
"Georgia","Lagrange"
"Georgia","Greensboro"
"Georgia","Athens"
"Georgia","Sandy Springs"
"Georgia","Duluth"
"Georgia","Newnan"
"Georgia","Buford"
"Georgia","Roswell"
"Georgia","Tucker"
"Georgia","West Point"
"Georgia","Macon"
"Georgia","Blue Ridge"
"Georgia","Braselton"
"Georgia","Hampton"
"Georgia","Cleveland"
"Georgia","Decatur"
"Georgia","Rome"
"Georgia","Augusta"
"Georgia","Hapeville"
"Georgia","Omaha"
"Georgia","Statesboro"
"Georgia","Johns Creek"
"Georgia","Suwanee"
"Georgia","Chamblee"
"Georgia","Albany"
"Georgia","Stone Mountain"
"Georgia","Gainesville"
"Georgia","Rock Spring"
"Georgia","Brunswick"
"Georgia","Marietta"
"Georgia","Carrollton"
"Georgia","Alpharetta"
"Georgia","Savannah"
"Georgia","Canton"
"Georgia","Woodstock"
"Georgia","Lawrenceville"
"Georgia","Fayetteville"
"Georgia","Cartersville"
"Georgia","Valdosta"
"Georgia","Columbus"
"Georgia","Mableton"
"Georgia","Sugarhill"
"Georgia","Fairburn"
"Georgia","Cumming"
"Georgia","Kennesaw"
"Georgia","Dahlonega"
"Georgia","Atlanta"
"Hawaii","Kamuela"
"Hawaii","Kunia"
"Hawaii","Kihei"
"Hawaii","Kaneohe"
"Hawaii","Mililani"
"Hawaii","Kailua"
"Hawaii","Lihue"
"Hawaii","Kailua Kona"
"Hawaii","Hilo"
"Hawaii","Lahaina"
"Hawaii","Port Allen"
"Hawaii","Honolulu"
"Idaho","Elk River"
"Idaho","Pocatello"
"Idaho","Wallace"
"Idaho","McCall"
"Idaho","Riggins"
"Idaho","Idaho Falls"
"Idaho","Cottonwood"
"Idaho","Hailey"
"Idaho","Moscow"
"Idaho","Bonners Ferry"
"Idaho","Ponderay"
"Idaho","Kellogg"
"Idaho","Post Falls"
"Idaho","Victor"
"Idaho","Coeur D Alene"
"Idaho","Ketchum"
"Idaho","Salmon"
"Idaho","Buhl"
"Idaho","Sandpoint"
"Idaho","Garden City"
"Idaho","Hayden"
"Idaho","Nampa"
"Idaho","GARDEN CITY"
"Idaho","Boise"
"Idaho","Twin Falls"
"Idaho","Challis"
"Illinois","O Fallon"
"Illinois","Cary"
"Illinois","Decatur"
"Illinois","Tinley Park"
"Illinois","Blue Island"
"Illinois","Lombard"
"Illinois","Peoria"
"Illinois","Du Quoin"
"Illinois","Long Grove"
"Illinois","Springfield"
"Illinois","Wilmette"
"Illinois","Christopher"
"Illinois","Oak Park"
"Illinois","Champaign"
"Illinois","Westmont"
"Illinois","Metropolis"
"Illinois","Saint Charles"
"Illinois","Lansing"
"Illinois","Cobden"
"Illinois","Gurnee"
"Illinois","Plainfield"
"Illinois","Grayslake"
"Illinois","Chicago"
"Illinois","Moline"
"Illinois","Alto Pass"
"Illinois","South Barrington"
"Illinois","Naperville"
"Illinois","Elmhurst"
"Illinois","Orland Park"
"Illinois","Romeoville"
"Illinois","Itasca"
"Illinois","Berwyn"
"Illinois","Forest Park"
"Illinois","New Lenox"
"Illinois","Paris"
"Illinois","Momence"
"Illinois","Bolingbrook"
"Illinois","Homewood"
"Illinois","Bourbonnais"
"Illinois","Riverside"
"Illinois","Lyons"
"Illinois","Ava"
"Illinois","Freeport"
"Illinois","Downers Grove"
"Illinois","Lena"
"Illinois","Machesney Park"
"Illinois","Byron"
"Illinois","Waterloo"
"Illinois","Petersburg"
"Illinois","Oswego"
"Illinois","West Dundee"
"Illinois","McHenry"
"Illinois","Wheeling"
"Illinois","Palatine"
"Illinois","Waukegan"
"Illinois","North Aurora"
"Illinois","Savoy"
"Illinois","Darien"
"Illinois","Normal"
"Illinois","Monmouth"
"Illinois","Alton"
"Illinois","Grafton"
"Illinois","Ottawa"
"Illinois","Hodgkins"
"Illinois","Woodstock"
"Illinois","Lemont"
"Illinois","Shorewood"
